"Date","Windows","OS X","Unknown","iOS","Linux","Chrome OS","Android","Playstation","Other"
2009,97.75,1.58,0.54,0,0.1,0,0,0.04,0
2010,96.4,2.88,0.35,0.2,0.13,0,0,0.04,0
2011,93.93,4.27,0.24,1.24,0.14,0,0.12,0.04,0.02
2012,91.99,5.59,0.08,1.86,0.18,0,0.21,0.02,0.07
2013,92.02,7.09,0.02,0,0.3,0,0.55,0,0
2014,89.62,9.15,0.41,0,0.65,0.02,0.15,0,0
2015,88.35,9.37,1.54,0,0.7,0.04,0,0,0
2016,83.98,11.93,3.39,0,0.64,0.06,0,0,0
2017,81.91,15.8,1.54,0,0.65,0.09,0,0,0
2018,77.1,18.34,3.81,0,0.63,0.12,0,0,0
2019,73.68,20.99,4.53,0,0.58,0.21,0,0,0.01
2020,72.46,24.75,1.68,0,0.55,0.55,0,0,0.01
2021,74.46,19.15,4.31,0,0.91,1.16,0,0,0.01
2022,77.9,15.38,3.15,0,0.92,2.65,0,0,0.02
2023,69.54,17,7.68,0,1.42,4.34,0,0,0.01
