"Date","Windows","OS X","Unknown","Linux","Chrome OS","iOS","Android","OpenBSD","Playstation","","FreeBSD","SunOS","Other"
2009,94.73,4.55,0.3,0.28,0,0,0,0,0.13,0,0,0,0
2010,92.5,6.79,0.09,0.28,0,0.24,0,0,0.11,0,0,0,0.01
2011,88.89,9.76,0.05,0.21,0,0.93,0.03,0,0.11,0,0,0,0.02
2012,87.81,10.1,0.02,0.21,0,1.35,0.14,0,0.07,0.22,0,0,0.07
2013,87.4,11.29,0.05,0.51,0.2,0,0.56,0,0,0,0,0,0
2014,85.15,12.43,0.84,0.8,0.48,0,0.29,0,0,0,0,0,0
2015,78.48,13.71,3.61,3.23,0.56,0,0,0.09,0,0,0.16,0.09,0.07
2016,71.83,14.91,7.05,4.41,1.26,0,0,0.41,0,0,0.06,0.03,0.02
2017,76.02,15.85,5.47,1.69,0.87,0,0,0.07,0,0,0.01,0.01,0.01
2018,76.18,15.14,6.85,0.99,0.84,0,0,0.01,0,0,0,0,0
2019,67.67,19.41,10.4,1.42,1.1,0,0,0,0,0,0,0,0
2020,69.15,21.17,6.98,1.21,1.47,0,0,0,0,0,0.01,0,0
2021,73.74,15.58,7.58,0.51,2.59,0,0,0,0,0,0,0,0
2022,73.3,14.63,8.3,0.56,3.21,0,0,0,0,0,0,0,0
2023,68.61,18.64,9.14,0.88,2.73,0,0,0,0,0,0,0,0
