"Date","Windows","Unknown","OS X","Linux","iOS","Chrome OS","Android","Playstation","FreeBSD","Other"
2009,97.59,0.33,1.52,0.54,0,0,0,0.02,0,0
2010,96.47,0.17,2.74,0.44,0.12,0,0,0.06,0,0
2011,93.85,0.08,3.82,0.48,1.59,0,0.12,0.06,0,0
2012,90.64,0.12,5.33,0.42,3.09,0,0.35,0.04,0,0.03
2013,92.55,0.06,6.55,0.51,0,0.01,0.32,0,0,0
2014,91.14,0.87,7.28,0.56,0,0.04,0.11,0,0,0
2015,88.13,2.95,8.07,0.79,0,0.04,0,0,0,0.01
2016,84.25,4.36,10.39,0.93,0,0.05,0,0,0,0.01
2017,85.22,4.3,9.56,0.88,0,0.04,0,0,0,0.01
2018,81.4,6.14,11.37,0.91,0,0.17,0,0,0,0
2019,78.95,6.69,13.37,0.91,0,0.08,0,0,0,0
2020,79.4,6.46,13.13,0.87,0,0.14,0,0,0,0
2021,76.35,17.7,4.72,1.08,0,0.14,0,0,0.01,0
2022,61.94,34.28,2.64,0.82,0,0.29,0,0,0.03,0
2023,44.37,52.87,1.63,0.85,0,0.24,0,0,0.04,0
