"Date","Windows","OS X","Linux","Unknown","Chrome OS","Other"
2009,76.92,17,1.61,4.47,0,0
2010,97.86,0.74,1.28,0.11,0,0.01
2011,90.65,8.36,0.81,0.17,0,0.01
2012,99.28,0.61,0.09,0,0,0.02
2013,98.64,0.29,1.07,0,0,0
2014,93.91,4.61,0.96,0.43,0,0.09
2015,91.83,4.61,3.56,0,0,0
2016,42.76,54.28,1.87,1.08,0.01,0
2017,45.84,51.02,2.72,0.34,0.07,0
2018,48.79,46.93,3.52,0.52,0.24,0
2019,87.05,11.55,1.39,0,0,0
2020,78.96,20.51,0.47,0.06,0,0
2021,40.02,59.52,0.44,0,0,0.02
2022,0,100,0,0,0,0
2023,4.02,95.48,0.48,0.02,0,0
