"Date","Windows","Unknown","OS X","Linux","Chrome OS","iOS","Android","","Other"
2009,97.71,0.11,1.27,0.9,0,0,0,0,0.01
2010,97.83,0.06,1.39,0.66,0,0.04,0,0,0.01
2011,96.19,0.14,2.4,0.93,0,0.28,0.03,0,0.03
2012,95.1,0.1,2.95,0.93,0,0.58,0.12,0.18,0.03
2013,94.93,0.04,3.81,1.01,0,0,0.21,0,0
2014,95.36,0.47,3.23,0.85,0.05,0,0.05,0,0
2015,93.15,1.29,4.39,1.09,0.08,0,0,0,0
2016,90.04,4.64,4.29,0.97,0.06,0,0,0,0
2017,86.93,3.28,8.72,1.01,0.06,0,0,0,0
2018,79.97,6.88,12.08,1.01,0.06,0,0,0,0
2019,69.44,16.48,13.16,0.86,0.05,0,0,0,0
2020,75.4,9.68,13.53,1.34,0.05,0,0,0,0
2021,68.02,27.12,3.02,1.65,0.19,0,0,0,0
2022,72.8,21.85,3.44,1.69,0.22,0,0,0,0
2023,67.38,25.5,4.17,2.59,0.35,0,0,0,0
