"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Playstation","OpenBSD","FreeBSD","Other"
2009,98.1,1.51,0.19,0.15,0,0,0,0.04,0,0,0
2010,97.35,2.16,0.15,0.14,0.14,0,0,0.05,0,0,0
2011,95.24,3.19,0.11,0.17,1.02,0.21,0,0.05,0,0,0.01
2012,92.04,4.85,0.11,0.23,2.3,0.42,0,0.04,0,0,0.02
2013,92.81,5.76,0.03,0.36,0,1.04,0,0,0,0,0
2014,89.87,8.5,0.47,0.86,0,0.23,0.06,0,0,0,0
2015,84.32,10.52,1.49,3.15,0,0,0.15,0,0.13,0.12,0.11
2016,80.79,14.21,3.68,1.13,0,0,0.11,0,0.05,0.01,0.01
2017,76.64,21.68,1.21,0.41,0,0,0.06,0,0,0,0
2018,71.3,25.27,2.77,0.52,0,0,0.14,0,0,0,0
2019,66.32,29.75,3.3,0.27,0,0,0.36,0,0,0,0
2020,67.87,29.76,1.41,0.69,0,0,0.27,0,0,0,0
2021,77.88,16.22,3.65,1.44,0,0,0.8,0,0,0.01,0
2022,77.58,15.27,4.86,0.98,0,0,1.27,0,0,0.05,0
2023,76.14,12.65,8.36,1.57,0,0,1.26,0,0,0.02,0
