"Date","Windows","OS X","iOS","Linux","Unknown","Chrome OS","Android","Playstation","","BlackBerry OS","Other"
2009,82.96,15.76,0,0.15,0.86,0,0,0.25,0,0,0.02
2010,84.71,14.26,0.57,0.2,0.14,0,0,0.11,0,0,0.01
2011,80.91,15.35,3.22,0.23,0.07,0,0.04,0.14,0,0.04,0.01
2012,77.73,17.03,4.45,0.23,0.03,0,0.16,0.07,0.22,0.05,0.03
2013,81.25,18.12,0,0.43,0.04,0.03,0.13,0,0,0,0
2014,82.06,17.1,0,0.53,0.11,0.18,0.03,0,0,0,0
2015,82.92,15.96,0,0.58,0.27,0.27,0,0,0,0,0
2016,83.39,14.98,0,0.42,0.93,0.27,0,0,0,0,0
2017,84.32,14.83,0,0.27,0.27,0.32,0,0,0,0,0
2018,84.76,14.1,0,0.17,0.55,0.42,0,0,0,0,0
2019,83.76,14.95,0,0.19,0.52,0.59,0,0,0,0,0
2020,69.69,29.14,0,0.19,0.2,0.79,0,0,0,0,0
2021,61.8,35.47,0,0.37,1.07,1.3,0,0,0,0,0
2022,30.09,67.95,0,0.07,0.54,1.35,0,0,0,0,0
2023,8.27,90.96,0,0.04,0.22,0.51,0,0,0,0,0
