"Date","Windows","OS X","Unknown","Linux","Chrome OS","iOS","Android","Other"
2009,94.63,3.94,0.09,1.33,0,0,0,0.01
2010,94.82,3.35,0.07,1.69,0,0.07,0,0
2011,93.92,3.79,0.03,1.78,0,0.46,0.02,0
2012,93.84,4.84,0.04,0.74,0,0.49,0.04,0.01
2013,93.25,5.52,0.03,0.75,0,0,0.45,0
2014,93.65,4.91,0.68,0.64,0,0,0.12,0
2015,83.93,9.86,4.16,2.04,0.01,0,0,0
2016,82.57,5.61,10.94,0.87,0.01,0,0,0
2017,89.57,7.11,2.4,0.9,0.02,0,0,0
2018,86.22,7.67,4.57,1.46,0.08,0,0,0
2019,85.9,7.84,4.64,1.53,0.08,0,0,0
2020,81.58,8.81,7.88,1.17,0.55,0,0,0
2021,78.92,8.47,10.63,1.2,0.79,0,0,0
2022,83.27,9.54,5.33,1.16,0.7,0,0,0
2023,76.03,8.13,13.58,1.71,0.53,0,0,0.02
