"Date","Windows","OS X","Unknown","Linux","Chrome OS","iOS","Android","","Playstation","Other"
2009,96.59,2.21,0.11,1.07,0,0,0,0,0.01,0
2010,94.44,3.61,0.08,1.68,0,0.15,0,0,0.03,0
2011,93.55,3.91,0.04,1.58,0,0.83,0.04,0,0.05,0.01
2012,92.21,4.67,0.03,1.13,0.01,1.42,0.2,0.26,0.02,0.04
2013,92.92,5.27,0.07,1.33,0.18,0,0.23,0,0,0
2014,90.91,6.13,0.4,1.72,0.75,0,0.09,0,0,0
2015,88.03,7.39,2.08,1.55,0.94,0,0,0,0,0
2016,80.32,9.39,8.11,1.19,1,0,0,0,0,0
2017,80.06,12.84,3.87,1.57,1.66,0,0,0,0,0
2018,76.85,11.68,4.81,5.22,1.43,0,0,0,0,0
2019,78.25,12.02,6.52,1.63,1.58,0,0,0,0,0
2020,77.58,14.73,4.45,1.05,2.2,0,0,0,0,0
2021,74.04,12.86,9.25,1.02,2.82,0,0,0,0,0
2022,62.82,24.42,7.3,1.53,3.93,0,0,0,0,0
2023,62.03,20.21,6.21,9.26,2.27,0,0,0,0,0.02
