"Date","Windows","Unknown","OS X","Linux","iOS","Chrome OS","Android","Other"
2009,90.02,0.02,2.44,7.52,0,0,0,0
2010,93.62,0.07,2.24,4.04,0.04,0,0,0
2011,96.18,0.01,2.35,0.9,0.48,0,0.06,0.03
2012,88.74,0.02,7.69,1.77,1.65,0,0.13,0.01
2013,94.78,0.03,4.01,1.09,0,0.02,0.07,0
2014,93,1.32,4.92,0.71,0,0.03,0.02,0
2015,92.49,2.99,3.76,0.66,0,0.1,0,0
2016,81.68,8.72,8.93,0.59,0,0.07,0,0
2017,86.2,8.79,3.78,1.15,0,0.06,0,0
2018,84.37,10.44,3.8,0.89,0,0.51,0,0
2019,69.09,23.29,4.39,3.17,0,0.06,0,0
2020,75.83,19.75,3.28,1.11,0,0.04,0,0
2021,57.38,38.02,1.38,3.18,0,0.04,0,0
2022,63.21,33.44,1.15,2.01,0,0.19,0,0
2023,47.38,48.73,1.48,2.29,0,0.11,0,0
