"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Other"
2009,98.39,1.06,0.04,0.5,0,0,0,0.01
2010,97.87,1.53,0.03,0.5,0.03,0,0,0.03
2011,97.31,1.95,0.02,0.48,0.2,0.02,0,0.03
2012,96.64,2.41,0.02,0.49,0.34,0.06,0,0.03
2013,95.76,3.19,0.02,0.7,0,0.34,0,0
2014,91.67,6.11,0.96,1.07,0,0.16,0.03,0
2015,86.57,8.48,3.57,1.31,0,0,0.07,0
2016,82.18,11.72,5.05,0.98,0,0,0.08,0
2017,81.41,15.74,1.48,1.29,0,0,0.08,0
2018,79.93,16.56,2.22,1.21,0,0,0.08,0
2019,76.51,19.06,3.51,0.86,0,0,0.05,0
2020,78.99,18.88,1.24,0.83,0,0,0.06,0
2021,83.95,9.85,4.3,1.73,0,0,0.17,0
2022,83.14,8.68,6.19,1.72,0,0,0.26,0
2023,81.7,7.24,8.53,2.15,0,0,0.37,0
