"Date","Windows","Linux","Unknown","OS X","Chrome OS","Other"
2009,92.81,6.47,0.15,0.57,0,0.01
2010,93.26,6.15,0.15,0.43,0,0.01
2011,91.81,7.5,0.13,0.5,0,0.06
2012,91.35,7.92,0.05,0.58,0,0.09
2013,92.9,6.56,0.02,0.49,0.01,0.02
2014,93.57,5.6,0.09,0.72,0.02,0.01
2015,95.02,4.08,0.21,0.68,0.01,0.01
2016,93.04,4.34,1.83,0.75,0.03,0.01
2017,92.75,4.6,1.34,1.25,0.06,0
2018,94.05,3.54,0.67,1.68,0.06,0
2019,90.87,3.12,4.35,1.6,0.06,0
2020,89.06,3.9,4.87,2.03,0.14,0
2021,81.41,3.91,13.4,1.05,0.23,0
2022,75.09,2.92,20.35,1.32,0.32,0
2023,68.99,2.72,23.1,4.28,0.91,0
