"Date","Windows","OS X","Unknown","Linux","iOS","Chrome OS","Android","Other"
2009,98.8,0.75,0.1,0.35,0,0,0,0
2010,98.05,1.31,0.07,0.49,0.07,0,0,0.02
2011,97.16,1.94,0.19,0.35,0.28,0,0.08,0.01
2012,96.74,2.34,0.04,0.37,0.38,0,0.1,0.03
2013,96.54,2.71,0.02,0.57,0,0.02,0.15,0
2014,96.18,2.82,0.13,0.78,0,0.05,0.03,0
2015,94.77,2.78,1.11,1.26,0,0.08,0,0
2016,92.01,4.43,2.33,1.11,0,0.11,0,0
2017,92.43,5.24,1.16,0.95,0,0.21,0,0
2018,90.59,5.87,2.47,0.82,0,0.25,0,0.01
2019,88.26,6.89,3.88,0.83,0,0.15,0,0
2020,89.17,7.6,1.99,1.17,0,0.08,0,0
2021,85.97,5.73,6.85,1.37,0,0.09,0,0
2022,85.66,5.46,6.83,1.71,0,0.32,0,0.02
2023,74.71,4.21,19.66,1.24,0,0.18,0,0
