"Date","Windows","OS X","Unknown","Chrome OS","Linux","iOS","Android","","Playstation","Nintendo","Other"
2009,93.4,5.59,0.26,0,0.46,0,0,0,0.04,0.24,0.01
2010,91.86,7.69,0.06,0,0.28,0.07,0,0,0.04,0,0
2011,90.11,8.9,0.07,0,0.36,0.46,0.01,0,0.07,0,0
2012,88.45,10.04,0.07,0,0.41,0.64,0.1,0.21,0.04,0,0.03
2013,88.62,10.66,0.05,0.04,0.5,0,0.13,0,0,0,0
2014,89.04,8.71,0.89,0.58,0.72,0,0.06,0,0,0,0
2015,83.77,9.55,4.85,0.65,1.18,0,0,0,0,0,0
2016,76.13,13.18,8.86,0.66,1.18,0,0,0,0,0,0
2017,81.06,10.85,5.93,1.09,1.07,0,0,0,0,0,0
2018,74.73,10.5,12.84,1.13,0.81,0,0,0,0,0,0
2019,77.57,7.57,13.12,1.01,0.73,0,0,0,0,0,0
2020,75.21,12.52,8.36,3.1,0.81,0,0,0,0,0,0
2021,72.7,8.36,11.4,6.78,0.73,0,0,0,0,0,0.02
2022,61.67,8.12,21.01,8.56,0.64,0,0,0,0,0,0
2023,65.62,8.57,18.3,6.45,1.07,0,0,0,0,0,0
