"Date","Windows","OS X","Unknown","Linux","Chrome OS","iOS","Android","Playstation","Other"
2009,96.4,2.87,0.11,0.6,0,0,0,0.02,0
2010,95.7,3.4,0.05,0.73,0,0.06,0,0.05,0.01
2011,94.9,3.98,0.04,0.67,0,0.33,0.02,0.05,0.02
2012,94.75,3.85,0.04,0.7,0,0.5,0.06,0.03,0.06
2013,94.38,4.44,0.05,0.82,0.05,0,0.27,0,0
2014,91.2,6.58,0.84,0.96,0.24,0,0.19,0,0
2015,87.4,7.86,3.1,1.35,0.28,0,0,0,0
2016,82.65,10.76,5.29,0.98,0.31,0,0,0,0
2017,79.01,17.07,1.82,1.73,0.36,0,0,0,0
2018,76.38,18.83,3.37,1.06,0.36,0,0,0,0
2019,75.06,19.79,4.15,0.7,0.3,0,0,0,0
2020,74.07,22.38,2.3,0.78,0.46,0,0,0,0
2021,79.66,11.27,6.95,1.17,0.95,0,0,0,0
2022,77.78,11.07,8.57,1.23,1.35,0,0,0,0
2023,75.11,9.76,9.27,1.4,4.46,0,0,0,0
