"Date","Windows","OS X","Linux","Unknown","iOS","Android","Chrome OS","Playstation","Other"
2009,95.72,2.78,1.27,0.2,0,0,0,0.02,0.01
2010,94.6,3.83,1.38,0.11,0.03,0,0,0.04,0.01
2011,93.56,4.54,1.53,0.06,0.24,0.02,0,0.04,0.01
2012,92.25,5.42,1.62,0.05,0.5,0.14,0,0.01,0.01
2013,91.96,6.17,1.65,0.03,0,0.18,0,0,0.01
2014,90.31,7.04,2.35,0.22,0,0.05,0.02,0,0
2015,89.07,8.07,2.18,0.64,0,0,0.03,0,0.01
2016,86.79,9.78,1.91,1.48,0,0,0.03,0,0
2017,85.32,11.84,2.1,0.67,0,0,0.06,0,0.01
2018,83.24,13.06,1.67,1.9,0,0,0.12,0,0
2019,83.45,13.05,1.81,1.45,0,0,0.24,0,0
2020,80.68,15.1,3.4,0.69,0,0,0.14,0,0
2021,83.07,10.43,5.42,1.01,0,0,0.06,0,0
2022,83.56,11.45,3.92,0.88,0,0,0.18,0,0
2023,79.45,8.88,10.07,1.37,0,0,0.23,0,0
