"Date","Windows","Unknown","Linux","OS X","Chrome OS","iOS","Other"
2009,91.78,0.03,7.99,0.2,0,0,0
2010,98.25,0.04,1.48,0.22,0,0.01,0
2011,97.88,0.07,1.64,0.17,0,0.23,0
2012,93.19,0.02,6.2,0.31,0,0.27,0.01
2013,91.65,0.05,7.91,0.33,0,0,0.06
2014,96.68,0.06,2.94,0.3,0,0,0.02
2015,95.25,0.14,3.75,0.86,0,0,0
2016,95.89,0.6,2.69,0.79,0,0,0.03
2017,94.34,0.4,4.46,0.75,0.04,0,0
2018,96.45,0.18,2.72,0.62,0.03,0,0
2019,95.3,0.62,3.36,0.65,0.06,0,0
2020,78.73,14.6,3.1,3.27,0.29,0,0
2021,68.43,25.11,3.52,2.64,0.3,0,0
2022,69.44,25.78,3.78,0.87,0.12,0,0
2023,73.3,22.37,3.5,0.65,0.18,0,0
