"Date","Windows","OS X","Unknown","Linux","Chrome OS","iOS","Android","Playstation","Other"
2009,93.42,3.8,1.86,0.92,0,0,0,0,0
2010,92.08,6,1.14,0.46,0,0.11,0,0.2,0
2011,90.98,6.07,1.14,1.21,0,0.49,0.04,0.05,0.01
2012,92.22,5.61,0.53,0.91,0,0.55,0.07,0.05,0.06
2013,92.92,6.04,0.06,0.75,0.14,0,0.09,0,0
2014,91.47,6.72,0.29,0.97,0.51,0,0.04,0,0
2015,85.48,9.83,0.78,3.16,0.74,0,0,0,0.01
2016,87.97,6.69,2.72,1.6,1,0,0,0,0.02
2017,85.08,10.79,1.66,1.24,1.23,0,0,0,0
2018,71.87,10.94,8.19,5.48,3.53,0,0,0,0
2019,70.23,7.59,17.11,1.37,3.7,0,0,0,0
2020,73.84,13.07,8.22,0.36,4.52,0,0,0,0
2021,72.71,12.36,10.19,0.38,4.35,0,0,0,0
2022,72.29,12.36,8.56,0.27,6.51,0,0,0,0
2023,76.02,10.06,9.1,0.64,4.17,0,0,0,0
