"Date","Windows","OS X","iOS","Linux","Unknown","Chrome OS","Android","Playstation","Other"
2009,96.88,2.57,0,0.44,0.05,0,0,0.04,0.01
2010,94.14,5.25,0.12,0.4,0.02,0,0,0.06,0.01
2011,90.35,7.35,1.72,0.45,0.02,0,0.02,0.08,0
2012,88.2,9.41,1.92,0.37,0.01,0,0.08,0.02,0.01
2013,88.76,10.65,0,0.36,0.01,0.01,0.21,0,0
2014,88.06,10.95,0,0.73,0.13,0.02,0.1,0,0
2015,87.87,10.99,0,0.71,0.37,0.05,0,0,0
2016,86.69,11.41,0,0.92,0.9,0.08,0,0,0
2017,87.7,11.2,0,0.65,0.31,0.14,0,0,0
2018,86.21,11.65,0,0.6,1.32,0.22,0,0,0
2019,84.47,12.96,0,0.62,1.43,0.51,0,0,0
2020,71.08,27.36,0,0.53,0.26,0.77,0,0,0
2021,67.83,27.77,0,0.46,0.44,3.5,0,0,0
2022,34.04,61.41,0,0.19,0.22,4.13,0,0,0
2023,33.78,62.4,0,0.3,0.71,2.82,0,0,0
