"Date","Windows","OS X","Unknown","Chrome OS","Linux","iOS","Android","Playstation","","Other"
2009,93.08,5.96,0.36,0,0.5,0,0,0.1,0,0
2010,92.68,6.59,0.12,0,0.55,0.03,0,0.03,0,0
2011,92.44,6.77,0.03,0,0.36,0.34,0.02,0.04,0,0.01
2012,91.9,6.72,0.04,0,0.3,0.73,0.09,0.04,0.12,0.06
2013,91.55,7.73,0.02,0.06,0.52,0,0.11,0,0,0
2014,88.44,7.54,0.72,2.52,0.75,0,0.03,0,0,0
2015,84.86,7.76,4.05,2.43,0.9,0,0,0,0,0
2016,80.06,9.16,9.27,0.71,0.8,0,0,0,0,0
2017,81.23,11.17,5.7,1.06,0.84,0,0,0,0,0
2018,76.53,12.5,8.9,1.31,0.77,0,0,0,0,0
2019,73.1,14.36,10.43,1.29,0.82,0,0,0,0,0
2020,75.11,14.76,7.48,2.05,0.6,0,0,0,0,0
2021,74.35,12.37,10.34,2.12,0.82,0,0,0,0,0
2022,70.14,14.91,10.2,3.84,0.9,0,0,0,0,0
2023,62.88,18.43,13.28,4.17,1.24,0,0,0,0,0
