"Date","Windows","OS X","Linux","iOS","Unknown","Playstation","Chrome OS","Android","","Other"
2009,95.59,2.83,0.8,0,0.32,0.42,0,0,0,0.03
2010,93.19,5.4,0.38,0.41,0.17,0.42,0,0,0,0.03
2011,89.54,7.4,0.34,2.16,0.11,0.39,0,0.04,0,0.02
2012,84.96,10.15,0.4,3.99,0.05,0.16,0,0.17,0.1,0.02
2013,85.8,13.38,0.51,0,0.06,0,0.02,0.21,0,0
2014,83.64,14.97,1.02,0,0.14,0,0.15,0.09,0,0
2015,77.3,17.41,4.75,0,0.4,0,0.13,0,0,0.01
2016,70.43,21.62,7.21,0,0.66,0,0.08,0,0,0
2017,69.26,23.67,6.51,0,0.28,0,0.26,0,0,0.01
2018,78.84,19.04,0.66,0,1.27,0,0.19,0,0,0.01
2019,72.74,24.55,1.32,0,1.17,0,0.16,0,0,0.06
2020,67.63,30.66,0.43,0,1.06,0,0.21,0,0,0
2021,71.23,25.6,0.44,0,2.6,0,0.14,0,0,0
2022,68.12,25.28,4.09,0,2.3,0,0.2,0,0,0
2023,60.73,23.72,14.33,0,1.06,0,0.15,0,0,0.01
