"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Other"
2009,96.93,2.45,0.06,0.54,0,0,0,0.02
2010,96.45,2.79,0.06,0.59,0.08,0,0,0.03
2011,95.88,2.99,0.02,0.55,0.51,0.03,0,0.03
2012,94.53,3.77,0.02,0.64,0.89,0.1,0,0.05
2013,94.41,4.32,0.02,0.82,0,0.42,0.01,0
2014,91.53,6.63,0.67,0.94,0,0.17,0.07,0
2015,85.16,9.8,3.95,0.98,0,0,0.11,0
2016,75,14.86,9.2,0.83,0,0,0.11,0
2017,72.1,21.24,5.55,1,0,0,0.11,0
2018,70.79,23.23,4.91,0.92,0,0,0.15,0
2019,66.52,25.16,7.44,0.76,0,0,0.13,0
2020,71.35,24.28,3.35,0.86,0,0,0.16,0
2021,80.26,11.33,6.52,1.49,0,0,0.41,0
2022,79.7,10.07,8.07,1.65,0,0,0.51,0
2023,74.87,8.99,13.65,2.03,0,0,0.46,0
