"Date","Windows","Unknown","OS X","Linux","Chrome OS","iOS","FreeBSD","Other"
2009,87.81,0.01,0.59,11.59,0,0,0,0
2010,96.93,0.13,2.45,0.41,0,0.09,0,0
2011,94.18,0.13,3.93,0.94,0,0.8,0,0.02
2012,96.4,0.2,3.07,0.19,0,0.12,0,0.02
2013,93.13,0.05,6.45,0.22,0,0,0,0.14
2014,91.16,0.45,7.85,0.51,0.01,0,0,0.02
2015,90.22,1.33,6.85,1.56,0.04,0,0,0
2016,85.73,4.78,7.41,2.05,0.02,0,0,0
2017,84.19,5.41,9.68,0.6,0.13,0,0,0
2018,78.24,10.73,10.61,0.41,0.01,0,0,0
2019,72.43,15.57,11.53,0.42,0.04,0,0,0
2020,72.05,18,9.36,0.52,0.07,0,0,0
2021,68.98,28.21,2.01,0.43,0.37,0,0.01,0
2022,84.06,15.07,0.5,0.28,0.09,0,0,0
2023,80.98,17.59,0.63,0.65,0.12,0,0.03,0
