"Date","Windows","OS X","Linux","Unknown","iOS","Android","Chrome OS","Other"
2009,98.35,0.8,0.72,0.11,0,0,0,0.02
2010,97.7,1.27,0.91,0.07,0.02,0,0,0.03
2011,97.26,1.45,1.06,0.05,0.13,0.02,0,0.03
2012,97.11,1.5,1.07,0.03,0.2,0.07,0,0.02
2013,97.02,1.58,1.17,0.03,0,0.21,0,0
2014,96.55,1.77,1.3,0.3,0,0.08,0.01,0
2015,95.65,2.05,1.39,0.89,0,0,0.01,0
2016,94.97,2.25,1.2,1.56,0,0,0.02,0
2017,95.27,2.46,1.24,1,0,0,0.02,0
2018,92.23,3.44,1.49,2.69,0,0,0.15,0
2019,88.87,5.11,2.14,3.82,0,0,0.05,0.01
2020,89.84,6.28,2.05,1.77,0,0,0.06,0
2021,88.97,5.52,2.24,3.2,0,0,0.06,0
2022,87.95,5.98,2.25,3.73,0,0,0.08,0.01
2023,78.34,6.28,2.84,12.45,0,0,0.09,0.01
