"Date","Windows","OS X","Unknown","Linux","Android","iOS","Chrome OS","Other"
2009,97.92,0.89,0.1,1.09,0,0,0,0
2010,98.13,1.09,0.07,0.67,0,0.03,0,0
2011,97.98,1.07,0.03,0.6,0.12,0.2,0,0
2012,96.6,1.76,0.07,0.6,0.39,0.56,0,0.02
2013,96.34,2.14,0.07,0.59,0.85,0,0,0
2014,94.12,3.44,1.45,0.66,0.33,0,0,0
2015,91.22,4,3.89,0.87,0,0,0.01,0
2016,85.44,4.93,8.7,0.92,0,0,0.01,0
2017,88.99,5.98,4.01,1,0,0,0.02,0
2018,83.72,7.44,7.93,0.86,0,0,0.05,0
2019,86.13,7.7,5.35,0.81,0,0,0.01,0
2020,84.66,9.37,4.58,1.36,0,0,0.02,0
2021,83.28,5.26,9.15,2.26,0,0,0.06,0
2022,87.1,5.37,5.22,2.13,0,0,0.18,0
2023,83.29,5.56,8.42,2.48,0,0,0.25,0
