"Date","Windows","OS X","Linux","Unknown","iOS","Android","Chrome OS","Other"
2009,99.02,0.65,0.25,0.08,0,0,0,0.01
2010,98.21,1.32,0.37,0.05,0.05,0,0,0.01
2011,97.35,1.76,0.43,0.04,0.36,0.04,0,0.02
2012,96.79,2,0.44,0.03,0.55,0.17,0,0.01
2013,96.47,2.76,0.56,0.02,0,0.19,0,0
2014,94.86,4.04,0.81,0.21,0,0.05,0.03,0
2015,93.51,4.89,1.05,0.48,0,0,0.06,0
2016,89.59,7.37,1.12,1.84,0,0,0.08,0
2017,88.88,8.75,1.27,1.01,0,0,0.1,0
2018,85.63,9.9,1.12,3.13,0,0,0.22,0
2019,83.98,12.07,1.23,2.63,0,0,0.09,0
2020,84.09,13.05,1.36,1.39,0,0,0.11,0
2021,85.2,9.48,2.05,3.13,0,0,0.14,0
2022,86.51,9.48,1.62,2.23,0,0,0.16,0.01
2023,83.76,8.57,1.86,5.65,0,0,0.15,0.01
