"Date","Windows","Unknown","OS X","Linux","Android","iOS","Chrome OS","Other"
2009,99.54,0.07,0.33,0.06,0,0,0,0
2010,99.51,0.06,0.34,0.06,0,0.02,0,0.01
2011,99.3,0.04,0.36,0.05,0.05,0.19,0,0.01
2012,98.8,0.05,0.51,0.09,0.14,0.41,0,0.01
2013,98.46,0.01,0.62,0.23,0.68,0,0,0
2014,98.13,0.34,0.89,0.43,0.2,0,0.01,0
2015,96.84,1.63,1.03,0.49,0,0,0.01,0
2016,92.56,5.24,1.5,0.67,0,0,0.01,0
2017,94.61,2.15,2.34,0.88,0,0,0.02,0
2018,87.41,8.27,3.21,1.03,0,0,0.07,0
2019,82.97,12.55,3.63,0.83,0,0,0.02,0
2020,87.91,2.44,8.69,0.93,0,0,0.03,0
2021,76.31,10.85,10.61,2.13,0,0,0.08,0.02
2022,77.56,10.83,9.27,2.12,0,0,0.19,0.03
2023,61.93,13.12,21.85,2.59,0,0,0.48,0.02
