"Date","Windows","OS X","Linux","iOS","Unknown","Chrome OS","Playstation","Android","Other"
2009,86.43,12.36,0.92,0,0.19,0,0.09,0,0.02
2010,84.49,13.96,1.19,0.08,0.09,0,0.17,0,0
2011,82.1,15.78,1.21,0.66,0.05,0,0.18,0.02,0
2012,80.78,16.48,1.15,1.36,0.03,0,0.08,0.1,0.03
2013,80.67,17.94,1.13,0,0.03,0.02,0,0.22,0
2014,78.65,19.86,1.28,0,0.09,0.07,0,0.06,0
2015,76.67,20.64,2.27,0,0.31,0.11,0,0,0
2016,76.45,20.03,2.24,0,1.12,0.16,0,0,0
2017,73.89,23.13,2.34,0,0.41,0.22,0,0,0
2018,72.24,24.19,1.9,0,1.08,0.58,0,0,0
2019,71.27,24.47,2.28,0,1.49,0.5,0,0,0
2020,67.46,29.26,1.69,0,0.6,0.99,0,0,0
2021,66.56,29.04,1.42,0,0.98,2,0,0,0
2022,65.56,27.66,2.7,0,1.26,2.82,0,0,0
2023,66.2,26.34,2.43,0,2.4,2.63,0,0,0
