"Date","Windows","OS X","Unknown","Linux","Chrome OS","iOS","Android","Playstation","","Other"
2009,96.53,2.54,0.27,0.57,0,0,0,0.09,0,0
2010,95.58,3.5,0.11,0.6,0,0.06,0,0.14,0,0.01
2011,94.82,3.94,0.08,0.59,0,0.39,0.03,0.15,0,0.02
2012,93.78,4.49,0.07,0.54,0.01,0.71,0.12,0.08,0.13,0.07
2013,94.3,4.56,0.06,0.62,0.12,0,0.35,0,0,0
2014,92.68,4.98,0.73,0.87,0.54,0,0.2,0,0,0
2015,88.51,5.98,3.65,1.04,0.83,0,0,0,0,0
2016,81.78,7.86,8.53,0.98,0.83,0,0,0,0,0
2017,83.18,10.07,4.6,1.19,0.96,0,0,0,0,0
2018,76.36,12.52,8.93,0.79,1.4,0,0,0,0,0
2019,70.37,16.26,11.13,0.77,1.47,0,0,0,0,0
2020,70.61,16.59,9.7,0.82,2.29,0,0,0,0,0
2021,72.15,8.36,13.26,0.89,5.33,0,0,0,0,0
2022,70.18,8.48,13.16,0.8,7.38,0,0,0,0,0
2023,66.25,11.2,13.54,2.45,6.56,0,0,0,0,0
