"Date","Windows","Unknown","OS X","Linux","Chrome OS","iOS","Android","Other"
2009,94.12,0.17,2.6,3.1,0,0,0,0.01
2010,93.74,0.08,3.31,2.79,0,0.06,0,0.02
2011,93.29,0.08,3.65,2.44,0,0.45,0.08,0.01
2012,92.19,0.07,3.66,3.21,0,0.69,0.15,0.03
2013,93,0.04,4.38,2.31,0.01,0,0.26,0
2014,91.18,0.96,5.63,2.04,0.06,0,0.12,0
2015,87.85,4.5,5.52,2.01,0.11,0,0,0
2016,75.97,16.67,5.26,1.99,0.11,0,0,0
2017,81.03,9.55,7.11,2.11,0.2,0,0,0.01
2018,78.17,10.15,9.68,1.85,0.14,0,0,0
2019,74.88,12.48,10.55,1.92,0.16,0,0,0.01
2020,76.69,9.45,11.05,2.57,0.23,0,0,0.01
2021,71.84,19.83,5.46,2.41,0.45,0,0,0.02
2022,71.46,20.2,4.8,2.94,0.57,0,0,0.03
2023,65.83,26.28,4.21,3.05,0.61,0,0,0.02
