"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Other"
2009,98.46,0.54,0.16,0.83,0,0,0,0.02
2010,96.63,1.93,0.16,1.22,0.04,0,0,0.01
2011,94.78,3.3,0.47,0.93,0.46,0.05,0,0.01
2012,95.3,2.86,0.04,0.81,0.84,0.13,0,0.02
2013,95.8,2.87,0.06,0.86,0,0.41,0,0
2014,94.99,2.94,0.69,1.25,0,0.08,0.04,0
2015,92.24,3.95,1.77,1.98,0,0,0.05,0.02
2016,91.48,4.61,2.78,1.1,0,0,0.02,0.01
2017,94.04,4.02,1.1,0.83,0,0,0.02,0
2018,92.39,5.18,1.75,0.64,0,0,0.04,0
2019,92.86,4.67,1.59,0.84,0,0,0.02,0.02
2020,91.97,5.92,0.74,1.35,0,0,0.02,0
2021,91.86,4.39,2.33,1.31,0,0,0.11,0
2022,91.99,3.69,2.91,1.38,0,0,0.04,0
2023,84.65,3.91,6.67,4.7,0,0,0.08,0
