"Date","Windows","OS X","Linux","Unknown","iOS","Android","Chrome OS","Other"
2009,100,0,0,0,0,0,0,0
2010,96.62,2.89,0.36,0.05,0.08,0,0,0
2011,97.35,2.18,0.18,0.08,0.21,0.01,0,0
2012,97.07,2.08,0.6,0,0.14,0.1,0,0
2013,95.71,3.06,0.94,0.26,0,0.02,0.01,0
2014,94.24,4.66,0.89,0.2,0,0.01,0.01,0
2015,94.03,4,1.6,0.34,0,0,0.03,0
2016,73.82,13.51,12.42,0.16,0,0,0.08,0
2017,95.49,2.65,1.61,0.21,0,0,0.03,0.01
2018,92.31,4.32,2.05,1.31,0,0,0.01,0
2019,89.61,5.72,3.34,1.3,0,0,0.03,0
2020,93.53,4.25,1.06,1.16,0,0,0,0
2021,60.15,37.07,1.95,0.67,0,0,0.16,0
2022,14.11,84.89,0.2,0.79,0,0,0,0
2023,70.27,27.69,0.38,1.67,0,0,0,0
