"Date","Windows","OS X","Unknown","iOS","Linux","Android","Chrome OS","Playstation","Other"
2009,98.02,1.66,0.2,0,0.08,0,0,0.05,0
2010,96.62,2.77,0.18,0.22,0.11,0,0,0.08,0.02
2011,92.88,4.4,0.13,1.9,0.13,0.48,0,0.07,0.01
2012,90.36,6.06,0.1,2.82,0.22,0.38,0,0.04,0.02
2013,90.61,8.05,0.02,0,0.49,0.81,0.02,0,0
2014,88.58,10.28,0.33,0,0.54,0.21,0.05,0,0
2015,86.53,10.76,1.94,0,0.63,0,0.13,0,0.01
2016,80.93,13.66,4.59,0,0.56,0,0.24,0,0.01
2017,80.11,17.56,1.46,0,0.49,0,0.37,0,0
2018,70.7,24.03,4.02,0,0.69,0,0.56,0,0
2019,66.58,26.74,5.49,0,0.61,0,0.57,0,0
2020,68.49,28.63,1.79,0,0.6,0,0.48,0,0.02
2021,73.25,20.5,3.95,0,1.7,0,0.55,0,0.04
2022,76.28,17.24,4.14,0,1.53,0,0.78,0,0.03
2023,73.58,15.91,7.42,0,1.9,0,1.16,0,0.03
