"Date","Windows","OS X","Linux","Unknown","iOS","Android","Chrome OS","Other"
2009,98.49,0.35,1.05,0.11,0,0,0,0
2010,98.45,0.58,0.89,0.06,0.02,0,0,0.01
2011,98.45,0.71,0.64,0.06,0.12,0.01,0,0.01
2012,97.85,0.97,0.88,0.04,0.19,0.05,0,0.02
2013,97.49,1.36,0.97,0.05,0,0.14,0,0
2014,95.77,2.32,1.32,0.51,0,0.07,0.02,0
2015,95.04,2.6,1.18,1.16,0,0,0.02,0.01
2016,92.21,4.47,1.37,1.91,0,0,0.03,0
2017,91.29,5.89,1.36,1.42,0,0,0.03,0.01
2018,87.46,8.46,1.11,2.94,0,0,0.03,0
2019,85.3,8.92,1.46,4.28,0,0,0.04,0
2020,86.31,10.14,1.57,1.9,0,0,0.06,0.01
2021,87.38,7.22,2.27,3.04,0,0,0.08,0
2022,88.2,6.22,2.1,3.31,0,0,0.17,0.01
2023,84.36,6.57,2.43,6.52,0,0,0.12,0.01
