"Date","Windows","OS X","Unknown","Chrome OS","Linux","iOS","Android","Other"
2009,92.08,2.98,3.14,0,1.8,0,0,0.01
2010,88.27,4.4,1.04,0,6.17,0.11,0,0.02
2011,87.64,9.19,1.63,0,0.72,0.8,0.01,0.02
2012,83.59,14.4,0.17,0,0.95,0.78,0.05,0.05
2013,87.59,11.7,0.03,0.29,0.29,0,0.1,0
2014,84.55,13.69,0.22,0.83,0.65,0,0.06,0
2015,82.58,13.03,1.84,2.21,0.35,0,0,0
2016,80.39,13.5,4.73,0.91,0.46,0,0,0
2017,82.78,12.84,2.4,1.75,0.23,0,0,0.01
2018,73.46,19.72,4.52,2.1,0.2,0,0,0
2019,71.38,15.13,7,6.17,0.32,0,0,0
2020,74.86,19.44,2.77,2.22,0.7,0,0,0.01
2021,69.05,18.17,10.35,2.16,0.26,0,0,0
2022,67.76,17.54,9.1,5.27,0.32,0,0,0
2023,71.94,15.26,8.6,3.38,0.8,0,0,0.01
