"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Other"
2009,95.78,3.14,0.89,0.14,0,0,0,0.04
2010,94.73,4.43,0.49,0.15,0.19,0,0,0.02
2011,91.68,6.26,0.36,0.18,1.37,0.13,0,0.02
2012,89.02,7.86,0.2,0.25,2.24,0.41,0,0.03
2013,90.3,8.59,0.05,0.42,0,0.64,0,0
2014,88.48,10.24,0.47,0.69,0,0.12,0.01,0
2015,86.35,11.69,1.14,0.78,0,0,0.03,0.01
2016,81.1,15.28,3.07,0.49,0,0,0.06,0
2017,78.26,20.14,1.02,0.48,0,0,0.09,0.01
2018,71.87,24.84,2.67,0.53,0,0,0.08,0.02
2019,69.23,25.05,4.96,0.7,0,0,0.05,0.02
2020,65.64,30.39,2.27,1.66,0,0,0.04,0
2021,64.61,29.34,3.45,2.52,0,0,0.07,0.01
2022,63.75,29.54,3.39,3.22,0,0,0.08,0.01
2023,61.29,27.74,6.91,3.96,0,0,0.08,0.01
