"Date","Windows","Unknown","OS X","Linux","iOS","Chrome OS","Android","Other"
2009,98.38,0.06,1,0.55,0,0,0,0
2010,96.76,0.09,2.34,0.75,0.04,0,0,0.01
2011,95.65,0.08,2.57,0.76,0.82,0,0.1,0.02
2012,94.21,0.05,3.69,0.77,1.08,0,0.15,0.04
2013,94.15,0.22,4.39,0.94,0,0.01,0.28,0
2014,92.8,1.46,4.29,1.21,0,0.11,0.13,0
2015,88.7,6.74,2.87,1.59,0,0.1,0,0
2016,75.03,18.84,4.46,1.61,0,0.05,0,0.01
2017,79.96,12.44,5.73,1.8,0,0.07,0,0
2018,77.51,12.51,8.27,1.64,0,0.06,0,0
2019,80.82,11.38,6.83,0.94,0,0.02,0,0
2020,84.58,7.67,6.83,0.9,0,0.02,0,0
2021,74.72,19,5.4,0.76,0,0.13,0,0
2022,67.56,26.2,4.4,1.71,0,0.13,0,0
2023,48.51,28.3,21.47,1.58,0,0.14,0,0
