"Date","Windows","OS X","Unknown","Linux","Chrome OS","Android","iOS","Other"
2009,98.32,0.85,0.18,0.65,0,0,0,0.01
2010,97.99,1.37,0.06,0.55,0,0,0.02,0
2011,97.36,1.77,0.09,0.59,0,0.03,0.16,0
2012,96.81,2.14,0.14,0.53,0,0.06,0.3,0.01
2013,96.52,2.51,0.06,0.55,0.01,0.35,0,0
2014,95.48,3.04,0.64,0.66,0.04,0.13,0,0
2015,94.27,3,1.8,0.87,0.06,0,0,0
2016,93.55,2.68,2.98,0.74,0.05,0,0,0
2017,92.96,3.8,1.91,1.26,0.07,0,0,0
2018,89.82,3.66,5.2,1.24,0.08,0,0,0
2019,83.5,9.55,5.68,1.22,0.06,0,0,0
2020,90.43,4.97,3.05,1.47,0.07,0,0,0
2021,89.38,3.99,4.77,1.73,0.13,0,0,0
2022,88.77,4.91,3.23,2.91,0.18,0,0,0
2023,83.5,6.18,6.02,4.13,0.18,0,0,0
