"Date","Windows","OS X","Linux","Chrome OS","Unknown","iOS","Android","Playstation","Other"
2009,89.78,8.71,1.15,0,0.22,0,0,0.13,0.01
2010,87.39,11.06,1.04,0,0.13,0.21,0,0.16,0.01
2011,84.1,13.29,1.08,0,0.07,1.22,0.05,0.17,0.01
2012,82.24,14.21,1.05,0,0.05,2.11,0.22,0.1,0.02
2013,82.43,16.05,1.1,0.03,0.03,0,0.35,0,0
2014,80.35,17.89,1.13,0.28,0.26,0,0.09,0,0.01
2015,78.41,17.96,1.32,0.93,1.37,0,0,0,0.01
2016,74.43,18.62,1.22,1.7,4.01,0,0,0,0.02
2017,73.64,20.21,1.26,3.81,1.04,0,0,0,0.03
2018,72.64,19.57,1.29,3.41,3.06,0,0,0,0.02
2019,70.3,19.85,1.1,3.06,5.68,0,0,0,0.01
2020,68.74,25.61,1.23,2.73,1.69,0,0,0,0
2021,67.77,25.49,1.62,3.03,2.09,0,0,0,0.01
2022,67.13,24.56,1.72,5.23,1.35,0,0,0,0
2023,65.13,26.28,1.75,3.85,2.98,0,0,0,0
