"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Other"
2009,99.01,0.73,0.17,0.09,0,0,0,0.01
2010,98.59,1.03,0.14,0.14,0.08,0,0,0.02
2011,97.76,1.3,0.07,0.13,0.51,0.2,0,0.02
2012,96.08,2.04,0.06,0.3,1.04,0.42,0,0.04
2013,95.79,2.8,0.02,0.43,0,0.96,0,0.01
2014,94.39,4.18,0.53,0.61,0,0.27,0.01,0
2015,92.51,4.79,1.93,0.76,0,0,0.01,0
2016,86.18,7.71,5.3,0.79,0,0,0.02,0
2017,85.77,11.34,2.14,0.7,0,0,0.05,0
2018,77.27,12.91,9.08,0.62,0,0,0.11,0
2019,68.25,14.84,16.07,0.75,0,0,0.1,0
2020,77.96,17.85,3.05,0.88,0,0,0.25,0
2021,83.98,8.97,5.46,0.94,0,0,0.65,0.01
2022,83.25,8.58,5.91,1.03,0,0,1.21,0.01
2023,77.22,8.64,10.89,1.21,0,0,2.03,0.01
