"Date","Windows","OS X","Unknown","Linux","Android","iOS","Chrome OS","Other"
2009,99.16,0.51,0.02,0.31,0,0,0,0.01
2010,99.1,0.6,0.04,0.24,0,0.01,0,0.01
2011,98.94,0.73,0.02,0.22,0.01,0.06,0,0.01
2012,98.26,1.14,0.01,0.36,0.06,0.15,0,0.02
2013,97.86,1.39,0.06,0.47,0.22,0,0,0
2014,96.96,1.88,0.46,0.6,0.08,0,0.02,0
2015,94.66,2.64,1.9,0.77,0,0,0.03,0
2016,91.63,3.5,4.17,0.67,0,0,0.03,0
2017,91.66,5.8,1.51,0.99,0,0,0.04,0
2018,89.2,7.57,2.1,1.07,0,0,0.06,0
2019,86.66,9.16,3.25,0.87,0,0,0.06,0
2020,88.47,9.36,1.31,0.8,0,0,0.06,0
2021,90.07,5.08,3.74,0.96,0,0,0.16,0
2022,90.37,4.16,3.85,1.27,0,0,0.35,0
2023,88.57,3.37,5.57,2.03,0,0,0.46,0.01
