"Date","Windows","Unknown","OS X","Linux","Android","Chrome OS","iOS","Other"
2009,99.31,0.07,0.41,0.2,0,0,0,0.01
2010,99.22,0.04,0.49,0.23,0,0,0.02,0.01
2011,99.02,0.05,0.53,0.23,0.02,0,0.14,0.01
2012,98.43,0.23,0.66,0.39,0.04,0,0.22,0.03
2013,98.22,0.2,0.84,0.4,0.33,0,0,0
2014,97.21,1.3,0.99,0.37,0.11,0.02,0,0
2015,94.18,4.06,1.24,0.48,0,0.04,0,0
2016,90.41,7.46,1.6,0.47,0,0.05,0,0
2017,92.56,4.22,2.4,0.76,0,0.05,0,0
2018,88.52,7.77,2.96,0.65,0,0.1,0,0
2019,85.05,10.93,3.27,0.66,0,0.08,0,0
2020,87.92,7.04,3.99,0.95,0,0.1,0,0
2021,79.11,15.97,2.98,1.74,0,0.2,0,0.01
2022,84.67,9.92,3.27,1.84,0,0.3,0,0
2023,83.16,10.76,3.25,2.33,0,0.51,0,0
