"Date","Windows","OS X","Linux","Unknown","Chrome OS","iOS","Android","Other"
2009,95.07,2.21,1.42,1.3,0,0,0,0
2010,89.25,8.5,0.24,1.91,0,0.09,0,0
2011,86.9,11.16,0.5,0.96,0,0.41,0.08,0
2012,87.25,10.72,0.76,0.56,0,0.44,0.26,0.02
2013,91.92,7.07,0.81,0.05,0.01,0,0.13,0
2014,92.25,6.7,0.57,0.33,0.12,0,0.02,0
2015,55.95,4.46,37.22,2.19,0.18,0,0,0.01
2016,87.94,3.74,4.31,3.65,0.36,0,0,0
2017,91.41,6.25,0.36,1.35,0.62,0,0,0
2018,88.27,6.68,0.39,4.37,0.29,0,0,0
2019,84.29,9.04,0.32,5.18,1.17,0,0,0
2020,85.03,10.34,0.75,3.11,0.78,0,0,0
2021,78.28,10.03,0.77,9.97,0.94,0,0,0
2022,74.57,14.57,1.22,6.88,2.75,0,0,0
2023,51.87,42.92,0.33,3.64,1.24,0,0,0
