"Date","Windows","OS X","Linux","Unknown","iOS","Android","Chrome OS","Playstation","Other"
2009,90.85,7.56,1.32,0.18,0,0,0,0.07,0.01
2010,88.05,9.98,1.66,0.09,0.1,0,0,0.1,0.02
2011,83.77,10.91,4.5,0.04,0.59,0.06,0,0.12,0.01
2012,80.39,11.47,6.66,0.04,1.1,0.24,0,0.07,0.02
2013,78.2,11.1,9.97,0.03,0,0.7,0,0,0.01
2014,74.95,9.71,12.24,2.89,0,0.16,0.04,0,0
2015,75.58,13.47,8.22,2.65,0,0,0.07,0,0.01
2016,72.7,14.61,7.2,5.41,0,0,0.08,0,0
2017,71.69,18.29,6.41,3.53,0,0,0.07,0,0.01
2018,70.66,18.82,5.05,5.37,0,0,0.07,0,0.03
2019,68.5,21.01,4.17,6.24,0,0,0.07,0,0
2020,69.84,23.77,2.86,3.19,0,0,0.35,0,0
2021,74.78,17.87,2.47,4.5,0,0,0.38,0,0
2022,77.26,16.82,1.53,3.86,0,0,0.52,0,0
2023,75.8,14.95,1.82,6.8,0,0,0.63,0,0
