"Date","Windows","Unknown","OS X","Linux","iOS","Chrome OS","Android","Other"
2009,92.73,0.47,4.43,2.37,0,0,0,0
2010,93.28,0.29,5.47,0.89,0.07,0,0,0
2011,92.65,0.31,5.69,0.85,0.4,0,0.1,0
2012,90.34,0.06,8.32,0.87,0.37,0,0.04,0
2013,91.87,0,7.28,0.6,0,0,0.25,0
2014,92.12,1.1,5.86,0.74,0,0.04,0.14,0
2015,91.17,2.3,5.79,0.72,0,0.02,0,0
2016,80.75,11.97,6.67,0.6,0,0.02,0,0
2017,88.02,7.5,4.17,0.29,0,0.02,0,0
2018,89.13,6.76,3.79,0.26,0,0.06,0,0
2019,74.42,15.03,10,0.52,0,0.03,0,0
2020,80.13,12.42,7,0.43,0,0.02,0,0
2021,70.55,23.27,4.34,1.79,0,0.05,0,0
2022,69.32,23.88,2.32,4.31,0,0.17,0,0
2023,65.4,23.53,3.71,6.92,0,0.43,0,0
