"Date","Windows","Unknown","OS X","Linux","Chrome OS","iOS","Android","Other"
2009,98.99,0.05,0.81,0.1,0,0,0,0.04
2010,98.71,0.08,1.02,0.12,0,0.05,0,0.02
2011,96.64,0.05,2.2,0.44,0,0.58,0.06,0.03
2012,93.17,0.12,3.46,0.47,0,2.42,0.33,0.03
2013,95.67,0.11,3.33,0.58,0.02,0,0.28,0
2014,94.86,0.42,4.09,0.47,0.09,0,0.07,0
2015,93.35,1.16,4.76,0.5,0.23,0,0,0
2016,88.77,3.8,5.97,1.02,0.44,0,0,0
2017,91.63,2.12,5.21,0.54,0.49,0,0,0
2018,85.91,5.48,7.39,0.6,0.63,0,0,0
2019,83.53,8.38,6.71,0.77,0.61,0,0,0
2020,79.74,11.22,7.9,0.56,0.58,0,0,0
2021,63.26,30.1,4.79,0.55,1.3,0,0,0
2022,56.12,36.99,4.44,0.91,1.54,0,0,0
2023,44,48.6,4.4,1.12,1.88,0,0,0
