"Date","Windows","OS X","Linux","iOS","Unknown","Android","Playstation","Other"
2009,82.18,16.77,0.82,0,0.15,0,0.02,0.05
2010,85.65,13,1.11,0.14,0.07,0,0.02,0.01
2011,85.23,12.81,1.2,0.63,0.03,0.04,0.05,0
2012,83.58,13.53,1.23,1.5,0.02,0.12,0.01,0
2013,83.17,15.34,1.25,0,0.02,0.22,0,0
2014,82.65,16.08,0.98,0,0.16,0.12,0,0
2015,76.74,21.07,1.92,0,0.27,0,0,0
2016,71.49,26.31,1.51,0,0.67,0,0,0.02
2017,68.53,30.1,1.03,0,0.33,0,0,0.01
2018,63.61,34.78,0.72,0,0.86,0,0,0.02
2019,60.45,37.99,0.62,0,0.93,0,0,0.01
2020,64.49,34.24,0.87,0,0.41,0,0,0
2021,68.71,28.71,0.87,0,1.7,0,0,0.01
2022,68.81,28.71,1.56,0,0.86,0,0,0.06
2023,31.26,68.02,0.32,0,0.4,0,0,0.01
