"Date","Windows","OS X","Unknown","Linux","iOS","Chrome OS","Android","Playstation","Other"
2009,98.37,0.93,0.05,0.63,0,0,0,0,0
2010,97.83,1.34,0.11,0.54,0.13,0,0,0.04,0.01
2011,96.88,1.68,0.05,0.56,0.71,0,0.07,0.05,0.02
2012,95.71,2.42,0.03,0.36,1.15,0,0.23,0.02,0.08
2013,96.61,2.24,0.03,0.72,0,0.05,0.35,0,0
2014,95.21,2.51,1.01,0.9,0,0.23,0.14,0,0
2015,91.95,3.47,3.1,1.19,0,0.29,0,0,0
2016,85.48,3.98,8.9,1.25,0,0.38,0,0,0
2017,89.17,4.78,4.81,1.03,0,0.21,0,0,0
2018,85.96,6.06,7.01,0.75,0,0.22,0,0,0
2019,85.08,6.7,7.32,0.67,0,0.21,0,0,0.03
2020,85.39,7.86,4.89,1.52,0,0.34,0,0,0
2021,83.68,6.88,7.19,1.15,0,1.09,0,0,0
2022,81.99,7.75,7.66,0.77,0,1.83,0,0,0
2023,76.75,7.15,13.22,0.91,0,1.98,0,0,0
