"Date","Windows","OS X","Unknown","Linux","iOS","Chrome OS","Android","Other"
2009,93.88,0.93,0.04,5.14,0,0,0,0
2010,92.08,0.9,0.05,6.95,0.01,0,0,0
2011,95.04,2.19,0.08,2,0.63,0,0.06,0
2012,92.47,4.78,0.11,1.5,0.95,0,0.19,0
2013,96.16,2.62,0,1.14,0,0,0.07,0
2014,95.72,2.27,0.78,1.18,0,0.01,0.03,0
2015,94.04,2.63,2.51,0.73,0,0.09,0,0
2016,88.3,5.07,5.3,1.22,0,0.11,0,0
2017,91.32,5.6,2.16,0.83,0,0.09,0,0
2018,89.35,4.47,4.48,1.63,0,0.07,0,0
2019,88.09,4.8,5.99,1.01,0,0.11,0,0
2020,88.73,4.65,5.04,1.39,0,0.18,0,0
2021,80.21,4,13.38,1.85,0,0.56,0,0
2022,81.53,2.23,15.06,0.98,0,0.2,0,0
2023,77.26,2,15.86,4.64,0,0.25,0,0
