"Date","Windows","OS X","Unknown","Chrome OS","iOS","Linux","Playstation","Android","","Nintendo","BlackBerry OS","Other"
2009,90.45,7.18,1.7,0,0,0.46,0.2,0,0,0.02,0,0
2010,89.91,8.61,0.43,0,0.48,0.32,0.24,0,0,0.01,0,0
2011,86.31,10.19,0.31,0,2.41,0.32,0.29,0.12,0,0.01,0.02,0.02
2012,85.32,9.71,0.08,0.01,3.79,0.13,0.09,0.25,0.42,0.09,0.08,0.04
2013,87.58,11.67,0.06,0.16,0,0.27,0,0.25,0,0,0,0
2014,83.4,13.72,0.49,0.6,0,1.65,0,0.14,0,0,0,0
2015,83.49,11.98,2.53,0.86,0,1.13,0,0,0,0,0,0
2016,75.34,16.06,5.86,1.44,0,1.3,0,0,0,0,0,0
2017,76.79,16.66,4.49,1.6,0,0.46,0,0,0,0,0,0
2018,76.22,15.81,5.06,2.51,0,0.4,0,0,0,0,0,0
2019,75.98,15.63,5.87,2.2,0,0.33,0,0,0,0,0,0
2020,68.68,23.7,4.3,2.48,0,0.84,0,0,0,0,0,0
2021,61.69,21.53,4.99,7.3,0,4.49,0,0,0,0,0,0
2022,51.91,23.23,3.7,19.56,0,1.59,0,0,0,0,0,0
2023,57.16,23.2,6.96,12.22,0,0.45,0,0,0,0,0,0
