"Date","Windows","OS X","Unknown","iOS","Linux","Android","Other"
2009,98.89,0.97,0.03,0,0.11,0,0
2010,98.68,1.12,0.05,0.03,0.12,0,0
2011,97.8,1.34,0.03,0.52,0.11,0.2,0
2012,95.57,2.16,0.04,1.54,0.14,0.54,0.01
2013,96.14,2.84,0.02,0,0.24,0.77,0
2014,94.1,3.79,1.38,0,0.4,0.33,0.01
2015,89.31,4.61,5.55,0,0.51,0,0.02
2016,83.87,5.09,10.46,0,0.56,0,0.02
2017,89.75,6.07,3.4,0,0.75,0,0.03
2018,81.43,8.87,8.91,0,0.72,0,0.07
2019,80.81,13.09,5.48,0,0.58,0,0.04
2020,80.22,16.26,2.98,0,0.51,0,0.03
2021,79.65,12.81,6.83,0,0.65,0,0.06
2022,79.16,13.32,6.28,0,1.17,0,0.06
2023,73.9,12.63,11.2,0,2.19,0,0.07
