"Date","Windows","OS X","Unknown","Linux","Android","iOS","Chrome OS","Other"
2009,98.22,0.88,0.09,0.8,0,0,0,0
2010,96.9,1.93,0.06,1.06,0,0.05,0,0
2011,96.88,2.16,0.03,0.49,0.04,0.39,0,0
2012,96.67,1.98,0.03,0.45,0.17,0.67,0,0.02
2013,96.34,2.4,0.04,0.52,0.69,0.01,0,0
2014,95.17,2.59,1.44,0.61,0.19,0.01,0.01,0
2015,90.66,4.05,3.82,1.45,0,0,0.01,0.01
2016,89.4,2.69,7.03,0.83,0,0,0.04,0.01
2017,91.03,2.68,5.57,0.69,0,0,0.02,0.01
2018,90.82,3.31,5.16,0.68,0,0,0.02,0
2019,91.49,3.11,4.73,0.66,0,0,0.02,0
2020,92.69,4.26,1.93,1.1,0,0,0.02,0
2021,86.93,6.36,5.45,1.21,0,0,0.04,0
2022,83.83,6.98,7.48,1.62,0,0,0.09,0
2023,74.94,5.09,15.88,4.04,0,0,0.05,0
