"Date","Windows","OS X","Unknown","Linux","Chrome OS","iOS","Android","Other"
2010,93.9,3.68,0.1,2.26,0,0.05,0,0
2011,91.61,5.82,0.07,2.09,0,0.37,0.04,0
2012,92.21,4.72,0.06,2.57,0,0.31,0.13,0
2013,91.2,5.66,0.36,2.51,0,0,0.27,0
2014,85.4,9.58,0.36,4.51,0,0,0.15,0
2015,87.52,6.32,1.77,4.26,0.12,0,0,0
2016,84.59,7.31,4.63,3.35,0.11,0,0,0
2017,88.75,7.42,2.11,1.67,0.05,0,0,0
2018,87.26,7.28,3.61,1.7,0.14,0,0,0
2019,85.84,6.46,6.38,1.24,0.07,0,0,0
2020,80.13,9.51,8.35,1.97,0.04,0,0,0
2021,83.18,8.18,6.88,1.7,0.05,0,0,0
2022,88.47,6.9,2.69,1.85,0.08,0,0,0.01
2023,85.01,7.01,6.28,1.52,0.17,0,0,0.01
2009,0,0,0,0,0,0,0,0
