"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Other"
2009,98.96,0.59,0.1,0.34,0,0,0,0
2010,98.72,0.73,0.07,0.45,0.02,0,0,0.01
2011,98.41,0.88,0.04,0.49,0.16,0.02,0,0.01
2012,97.88,1.11,0.03,0.58,0.33,0.06,0,0.01
2013,97.9,1.28,0.01,0.63,0,0.18,0,0
2014,96.2,2.38,0.45,0.91,0,0.06,0.02,0
2015,94.2,3.01,1.61,1.15,0,0,0.03,0
2016,90.88,4.55,3.63,0.92,0,0,0.03,0
2017,87.8,8.7,2.22,1.25,0,0,0.03,0
2018,85.04,11,2.99,0.87,0,0,0.1,0
2019,81.92,13.19,4.09,0.77,0,0,0.03,0
2020,85.1,11.14,2.72,1.02,0,0,0.02,0
2021,85.95,4.02,8.15,1.81,0,0,0.07,0
2022,88.66,3.71,5.66,1.82,0,0,0.15,0
2023,81.33,2.88,13.92,1.7,0,0,0.16,0
