"Date","Windows","OS X","Unknown","Linux","Chrome OS","iOS","Android","Other"
2009,91.37,8.06,0.42,0.16,0,0,0,0
2010,89.09,10.24,0.15,0.49,0,0.03,0,0
2011,90.33,8.58,0.07,0.53,0,0.46,0.04,0
2012,90.74,7.74,0.02,0.75,0,0.64,0.06,0.05
2013,92.02,7.02,0.02,0.81,0.01,0,0.13,0
2014,92.83,6.36,0.21,0.4,0.14,0,0.06,0
2015,87.74,9.21,1.55,1.13,0.36,0,0,0
2016,86.43,7.18,5.61,0.36,0.42,0,0,0
2017,93.57,5.27,0.56,0.32,0.28,0,0,0
2018,90.35,5.92,2.91,0.33,0.49,0,0,0
2019,74.46,7.5,16.36,0.81,0.87,0,0,0
2020,61.49,7.73,27.62,2.45,0.7,0,0,0
2021,64.14,5.87,27.62,1.2,1.17,0,0,0
2022,75.86,4.72,15.79,0.97,2.66,0,0,0
2023,82.46,4.23,9.86,1.89,1.56,0,0,0
