"Date","Windows","Unknown","OS X","Linux","Android","iOS","Other"
2009,99.57,0.02,0.3,0.11,0,0,0
2010,99.37,0.02,0.46,0.14,0,0.01,0.01
2011,99.12,0.02,0.59,0.12,0.03,0.11,0.01
2012,98.92,0.02,0.71,0.11,0.07,0.17,0.01
2013,98.59,0.01,0.78,0.22,0.4,0,0
2014,98.01,0.41,0.84,0.58,0.16,0,0
2015,95.55,2.04,1.12,1.29,0,0,0.01
2016,92.05,4.73,1.62,1.59,0,0,0.01
2017,94.09,1.33,2.67,1.9,0,0,0.01
2018,88.21,5.46,4.55,1.75,0,0,0.04
2019,83.8,7.71,6.75,1.72,0,0,0.02
2020,86.95,3.45,7.73,1.84,0,0,0.02
2021,85.58,6.74,4.43,3.22,0,0,0.03
2022,79.06,11.48,4.51,4.89,0,0,0.05
2023,77.69,12.3,4.67,5.28,0,0,0.05
