"Date","Windows","OS X","Unknown","Linux","Chrome OS","iOS","Android","Playstation","","Other"
2009,96.23,3.17,0.19,0.25,0,0,0,0.16,0,0.01
2010,95.65,3.6,0.08,0.35,0,0.07,0,0.23,0,0.01
2011,94.97,3.67,0.07,0.37,0,0.56,0.05,0.29,0,0.02
2012,93.49,4.24,0.37,0.38,0,0.88,0.19,0.18,0.2,0.07
2013,94.24,4.83,0.05,0.49,0.03,0,0.36,0,0,0
2014,92.78,5.36,0.61,0.74,0.32,0,0.19,0,0,0
2015,88.4,6.45,3.64,1.11,0.4,0,0,0,0,0
2016,79.49,8.31,10.64,1.09,0.47,0,0,0,0,0
2017,82.7,10.62,4.73,1.37,0.56,0,0,0,0,0
2018,76.94,12.85,8.29,1.21,0.7,0,0,0,0,0
2019,70.92,16.79,10.68,0.96,0.65,0,0,0,0,0
2020,73.55,18.3,6.16,0.84,1.14,0,0,0,0,0
2021,78.55,10.64,7.58,0.95,2.27,0,0,0,0,0
2022,74.6,11.02,9.58,1.16,3.63,0,0,0,0,0.01
2023,71.95,12.53,11.04,1.4,3.08,0,0,0,0,0
