"Date","Windows","OS X","Unknown","Linux","Chrome OS","Android","iOS","Other"
2009,67.18,29.41,3.35,0.06,0,0,0,0
2010,97.86,2.05,0,0.08,0,0,0,0
2011,95.42,4.15,0,0.32,0,0,0.07,0.05
2012,96.64,2.98,0.01,0.09,0,0,0.28,0
2013,95.79,3.45,0,0.4,0,0.36,0,0.01
2014,96.09,3.66,0.08,0.14,0.01,0.01,0,0
2015,91.98,6.41,0.76,0.63,0.22,0,0,0
2016,89.19,8.52,2.02,0.24,0.01,0,0,0.03
2017,90.85,7.79,0.33,0.95,0.04,0,0,0.04
2018,89.63,6.89,3.34,0.12,0.01,0,0,0
2019,80.9,9.84,8.91,0.33,0.02,0,0,0
2020,86.97,8.44,4.1,0.22,0.28,0,0,0
2021,90.41,4.88,4.15,0.13,0.43,0,0,0
2022,77.14,10.88,10.18,0.42,1.38,0,0,0
2023,76.44,6.08,15.87,0.64,0.97,0,0,0
