"Date","Windows","OS X","Linux","Unknown","iOS","Android","Chrome OS","Other"
2009,98.93,0.42,0.49,0.15,0,0,0,0.02
2010,97.85,0.99,0.96,0.14,0.04,0,0,0.02
2011,97.48,1.03,1.16,0.11,0.19,0.02,0,0.01
2012,96.53,1.51,1.4,0.09,0.34,0.09,0,0.03
2013,95.88,2.1,1.71,0.11,0,0.18,0,0.01
2014,94.33,3.15,1.97,0.46,0,0.08,0.01,0.01
2015,92.8,4.04,2.3,0.81,0,0,0.02,0.02
2016,91.37,5.59,1.67,1.34,0,0,0.02,0.01
2017,89.28,6.84,2.58,1.25,0,0,0.04,0.01
2018,86.99,8.75,1.92,2.21,0,0,0.14,0
2019,84.82,11.12,1.78,2.26,0,0,0.02,0
2020,84.67,12.18,1.86,1.24,0,0,0.04,0
2021,83.78,9.46,3.83,2.87,0,0,0.05,0
2022,87.96,6.06,3.02,2.88,0,0,0.08,0.01
2023,79.71,7.02,6.85,6.27,0,0,0.14,0
