"Date","Windows","Linux","OS X","Unknown","Chrome OS","iOS","Android","Other"
2009,93.74,5.29,0.89,0.08,0,0,0,0
2010,93.78,5.04,1.1,0.05,0,0.03,0,0.01
2011,93.64,5.1,1.07,0.03,0,0.13,0.01,0.01
2012,91.61,6.68,1.36,0.03,0,0.25,0.05,0.02
2013,88.19,10.06,1.57,0.04,0.01,0,0.13,0
2014,83.7,13.29,2.2,0.7,0.05,0,0.06,0
2015,82.02,11.67,3.71,2.51,0.1,0,0,0
2016,76.37,11.52,5.31,5.67,1.13,0,0,0
2017,77.52,8.33,7.81,3.46,2.88,0,0,0
2018,76.62,8.39,8.63,4.81,1.56,0,0,0
2019,74.57,7,11.64,6.37,0.42,0,0,0
2020,77.28,6.53,12.66,3.14,0.4,0,0,0
2021,81.1,6.65,6.84,4.7,0.71,0,0,0
2022,82.08,4.71,6.35,5.94,0.92,0,0,0
2023,81.16,4.08,5.6,8.42,0.72,0,0,0.01
