"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Other"
2009,99.16,0.37,0.13,0.34,0,0,0,0
2010,97.86,1.17,0.1,0.77,0.09,0,0,0.01
2011,97.07,1.44,0.09,0.59,0.74,0.06,0,0.01
2012,96.45,1.64,0.05,0.76,0.87,0.19,0,0.02
2013,96.6,2.01,0.03,0.82,0.01,0.52,0,0
2014,96.03,1.89,0.91,1.01,0.01,0.14,0.01,0
2015,94.18,2.66,2.19,0.94,0,0,0.02,0
2016,92.46,3.48,3.33,0.68,0,0,0.04,0
2017,93.82,4.3,1.08,0.74,0,0,0.05,0
2018,92.38,4.95,1.9,0.71,0,0,0.06,0
2019,92.27,3.85,3.17,0.69,0,0,0.02,0
2020,93.04,4.5,1.66,0.79,0,0,0.02,0
2021,88.4,4.15,5.79,1.6,0,0,0.05,0
2022,87.6,4.71,5.97,1.66,0,0,0.05,0
2023,80.57,4.47,12.41,2.45,0,0,0.1,0
