"Date","Windows","OS X","Linux","Unknown","iOS","Other"
2009,95.94,2.44,1.39,0.03,0,0.21
2010,93.89,2.12,3.96,0.01,0.02,0.01
2011,91.22,5.42,3.26,0.01,0.08,0
2012,97.09,1.66,1.22,0.02,0.01,0
2013,88.05,8.52,3.36,0.03,0,0.03
2014,87.33,10.09,2.46,0.08,0,0.04
2015,88.49,9.08,2.33,0.1,0,0
2016,88.41,10.11,1.11,0.36,0,0.01
2017,90.85,7.89,1.07,0.18,0,0
2018,89.4,9.96,0.49,0.15,0,0
2019,89.31,10.35,0.2,0.13,0,0.01
2020,90.78,8.94,0.23,0.04,0,0
2021,91.08,8.65,0.16,0.11,0,0
2022,90.32,9.49,0.08,0.1,0,0.01
2023,89.16,10.18,0.14,0.51,0,0.01
