"Date","Windows","OS X","Unknown","iOS","Linux","Chrome OS","Playstation","","Android","BlackBerry OS","Other"
2009,92.01,7.1,0.39,0,0.2,0,0.3,0,0,0,0.01
2010,88.27,10.66,0.14,0.3,0.44,0,0.17,0,0,0,0.02
2011,86.04,10.77,0.16,2.32,0.28,0,0.3,0,0.08,0.02,0.02
2012,83.47,11.84,0.09,3.01,0.31,0,0.15,0.73,0.26,0.11,0.03
2013,87.55,11.73,0.04,0,0.37,0.06,0,0,0.25,0,0
2014,86.15,12.22,0.26,0,0.53,0.74,0,0,0.09,0,0
2015,80.87,13.46,3.28,0,0.98,1.4,0,0,0,0,0
2016,77.06,15.66,5.83,0,0.76,0.65,0,0,0,0,0.05
2017,81.23,14.05,2.13,0,2.08,0.49,0,0,0,0,0.02
2018,82.12,12.77,2.91,0,1.27,0.92,0,0,0,0,0
2019,80.66,16.34,1.97,0,0.47,0.57,0,0,0,0,0
2020,70.39,26.5,1.17,0,0.42,1.53,0,0,0,0,0
2021,70.14,22.81,2.39,0,0.86,3.8,0,0,0,0,0
2022,58.09,34.6,3.14,0,0.64,3.52,0,0,0,0,0
2023,64.19,24.79,6.44,0,0.71,3.87,0,0,0,0,0
