"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Other"
2009,99.54,0.27,0.11,0.08,0,0,0,0
2010,99.23,0.54,0.04,0.14,0.05,0,0,0
2011,98.54,0.75,0.06,0.15,0.44,0.05,0,0
2012,97.07,0.95,0.07,0.17,1.59,0.12,0,0.02
2013,97.73,1.65,0.03,0.39,0,0.19,0,0.01
2014,95.23,3.34,0.42,0.92,0,0.08,0.02,0
2015,92.1,5.22,1.3,1.34,0,0,0.03,0.01
2016,91.16,5.22,2.76,0.82,0,0,0.03,0
2017,90.33,7.46,0.83,1.31,0,0,0.06,0
2018,88.66,8.89,1.55,0.77,0,0,0.11,0.01
2019,87.45,10.04,1.77,0.7,0,0,0.04,0
2020,85.53,11.91,1.69,0.84,0,0,0.03,0
2021,82.68,8.46,7.54,1.26,0,0,0.06,0
2022,68.94,7.84,21.16,1.98,0,0,0.08,0
2023,55.74,6.99,34.73,2.47,0,0,0.06,0
